id,product_name,original_price,return_and_exchange_policy,discount_rate,inventory_type,gift_item_title,quantity_sold,brand_id,is_warranty_applied,is_authentic,origin,expiry_time,skin_type,store_id,Volume/Mass,Unit
631525,Sua rua mat duong chuyen biet chong lao hoa Hada Labo Pro Anti Aging a Lifting Cleanser (80g),73000,Trong 30 ngay,1,instock,0 qua tang kem,568.0,22013,Co,Co,Viet Nam,Xem tren bao bi,da lao hoa,211,80,g
117170051,Combo 2 Sua rua mat Simple giup kiem dau va ngua mun hieu qua - cho da mun nhay cam 150ml [CHINH HANG DOC QUYEN] [DIEN MAO MOI],264000,Trong 30 ngay,18,instock,0 qua tang kem,23958.0,185075,Khong,Co,Ba Lan,Xem tren bao bi,"da dau, da thuong",1,150,ml
54058503,Kem Rua Mat Duong Trang Hada Labo Perfect White Tranexamic Acid Cleanser (80g),93000,Trong 30 ngay,15,instock,0 qua tang kem,17724.0,22013,Khong,Co,Viet Nam,Xem tren bao bi,moi loai da,1,80,g
214101372,Combo 2 Sua rua mat Simple giup da sach thoang 150mlx2 & Nuoc tay trang Simple 200ml,264000,Trong 30 ngay,14,instock,0 qua tang kem,43223.0,185075,Khong,Co,Phan Lan,Xem tren bao bi,"da nhay cam, da thuong",-1,150,ml
140537792,Sua rua mat Hatomugi hat y di,54180,Trong 30 ngay,2,instock,0 qua tang kem,2596.0,217777,Khong,Co,Nhat Ban,Xem tren bao bi,khong co thong tin,1,,
22052325,Kem Rua Mat Sach Nhon Mat Lanh Oxy Perfect Wash (100g),77000,Trong 30 ngay,19,instock,0 qua tang kem,16173.0,112886,Khong,Co,Viet Nam,Xem tren bao bi,khong co thong tin,1,100,g
196953338,Sua rua mat se khit lo chan long innisfree Volcanic Pore BHA Cleansing Foam 150g,260000,Trong 30 ngay,0,instock,0 qua tang kem,3811.0,202607,Khong,Co,Han Quoc,Xem tren bao bi,khong co thong tin,1,150,g
631034,Kem rua mat duong am Hada Labo Advanced Nourish Hyaluronic Acid Cleanser (80g),79000,Trong 30 ngay,15,instock,0 qua tang kem,18722.0,22013,Khong,Co,Viet Nam,Xem tren bao bi,"da kho, da thuong",1,80,g
199009119,Sua rua mat duong am da innisfree Green Tea Amino Cleansing Foam 150g,280000,Trong 30 ngay,0,instock,0 qua tang kem,4414.0,202607,Khong,Co,Han Quoc,Xem tren bao bi,khong co thong tin,1,150,g
127377722,Sua rua mat duong da sang hong Senka Perfect Whip Berry Bright 100g,115000,Trong 30 ngay,10,instock,1 qua tang kem,1595.0,86206,Khong,Co,Nhat Ban,Xem tren bao bi,moi loai da,6423,100,g
383286,Sua Rua Mat POND'S Duong am Chong lao hoa Duong am Lam sang va deu mau da (100g),121000,Trong 30 ngay,18,instock,0 qua tang kem,6916.0,21273,Khong,Co,Viet Nam,Xem tren bao bi,moi loai da,1,100,g
568830,Sua Rua Mat Tao Bot Chiet Xuat To Tam Trang Senka Perfect Whip 120g - 14839,108900,Trong 30 ngay,0,instock,0 qua tang kem,16223.0,86206,Khong,Co,Nhat Ban,Xem tren bao bi,khong co thong tin,1,120,g
119251243,Sua rua mat diu lanh cho da nhay cam Cetaphil Gentle Skin Cleanser 500ml,419000,Trong 30 ngay,14,backorder,0 qua tang kem,141.0,149699,Khong,Co,Canada,Xem tren bao bi,moi loai da,11978,500,ml
